GEOID,NAME,pct_voted,pct_rental,median_incomeE
13237,"Putnam County, Georgia",0.7056127611451699,0.22983103949871322,29520
13261,"Sumter County, Georgia",0.5439648997134671,0.44491746307558644,22179
13265,"Taliaferro County, Georgia",0.6982693754702785,0.3102866779089376,19627
13301,"Warren County, Georgia",0.6387951807228915,0.3342245989304813,21098
19185,"Wayne County, Iowa",0.650963149078727,0.18891781331349944,28464
19163,"Scott County, Iowa",0.7241878216257644,0.3097835006938124,32801
20181,"Sherman County, Kansas",0.6206190259444697,0.3309748427672956,27415
20193,"Thomas County, Kansas",0.6618030224075039,0.32385185185185184,29763
20127,"Morris County, Kansas",0.6746567372585525,0.19649122807017544,30533
20163,"Rooks County, Kansas",0.6872930990578049,0.23023897058823528,26245
20025,"Clark County, Kansas",0.7118078719146097,0.2565864833906071,32045
